modelId,model_size,author,license,language,pipeline_tag,downloads,likes,gated,createdAt,lastModified,usedStorage,model_type,performance_mmlu,performance_gsm8k,performance_arc,cost_per_million_tokens,ranking_overall
lmstudio-community/Qwen3-4B-Thinking-2507-MLX-6bit,4B,lmstudio-community,apache-2.0,,text-generation,418164,2,False,2025-08-06T15:23:42.000Z,2025-08-06T15:24:17.000Z,3280013453,qwen3,,,,,
meta-llama/Llama-3.2-3B,3B,meta-llama,llama3.2,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,414615,644,manual,2024-09-18T15:23:48.000Z,2024-10-24T15:07:40.000Z,12853731547,llama,,,,,
dicta-il/dictalm2.0-instruct,,dicta-il,apache-2.0,"['en', 'he']",text-generation,404861,24,False,2024-04-14T02:35:16.000Z,2024-07-10T16:09:58.000Z,14502885120,mistral,,,,,
IlyaGusev/saiga_llama3_8b,8B,IlyaGusev,other,['ru'],text-generation,403666,129,False,2024-04-18T18:25:25.000Z,2024-07-04T07:34:28.000Z,112451149269,llama,,,,,
Qwen/Qwen3-30B-A3B,30B,Qwen,apache-2.0,,text-generation,399832,797,False,2025-04-27T03:43:05.000Z,2025-07-26T03:45:17.000Z,61077998302,qwen3_moe,,,,,
unsloth/mistral-7b-v0.3-bnb-4bit,7B,unsloth,apache-2.0,['en'],text-generation,397538,20,False,2024-05-22T18:13:59.000Z,2024-11-22T08:30:49.000Z,4138858225,mistral,,,,,
kosbu/Llama-3.3-70B-Instruct-AWQ,70B,kosbu,llama3.3,"['en', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'de']",text-generation,395607,6,False,2024-12-06T19:42:08.000Z,2024-12-07T06:10:11.000Z,39785206176,llama,,,,,
Qwen/Qwen2-1.5B-Instruct,1.5B,Qwen,apache-2.0,['en'],text-generation,393794,151,False,2024-06-03T09:08:12.000Z,2024-06-06T14:36:57.000Z,20279235336,qwen2,,,,,
meta-llama/Llama-Guard-3-8B,8B,meta-llama,llama3.1,['en'],text-generation,393401,237,manual,2024-07-22T08:10:45.000Z,2024-10-11T14:52:47.000Z,32123303704,llama,,,,,
microsoft/DialoGPT-small,,microsoft,mit,,text-generation,392958,140,False,2022-03-02T23:29:05.000Z,2024-02-29T15:48:41.000Z,4364774105,gpt2,,,,,
LiquidAI/LFM2-1.2B,1.2B,LiquidAI,other,"['en', 'ar', 'zh', 'fr', 'de', 'ja', 'ko', 'es']",text-generation,391141,313,False,2025-07-10T12:01:50.000Z,2025-09-23T14:49:12.000Z,2340697936,lfm2,,,,,
unsloth/gpt-oss-20b-BF16,20B,unsloth,apache-2.0,,text-generation,387063,23,False,2025-08-05T17:44:50.000Z,2025-08-05T22:00:47.000Z,41857429502,gpt_oss,,,,,
trl-internal-testing/tiny-random-LlamaForCausalLM,,trl-internal-testing,,,text-generation,382858,7,False,2023-03-29T07:11:13.000Z,2024-04-23T12:12:07.000Z,8767545,llama,,,,,
ibm-research/PowerMoE-3b,3B,ibm-research,apache-2.0,,text-generation,382199,13,False,2024-08-14T18:44:21.000Z,2024-09-24T22:04:31.000Z,20094793448,granitemoe,,,,,
hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,70B,hugging-quants,llama3.1,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']",text-generation,361978,105,False,2024-07-19T11:08:55.000Z,2024-08-07T07:16:54.000Z,39767996256,llama,,,,,
zai-org/GLM-4.5-Air,,zai-org,mit,"['en', 'zh']",text-generation,359238,485,False,2025-07-20T03:25:55.000Z,2025-08-11T13:25:37.000Z,220959914155,glm4_moe,,,,,
mistralai/Mistral-7B-v0.1,7B,mistralai,apache-2.0,['en'],text-generation,355196,3988,False,2023-09-20T13:03:50.000Z,2025-07-24T16:44:02.000Z,44007786287,mistral,,,,,
Qwen/Qwen2.5-Coder-1.5B,1.5B,Qwen,apache-2.0,['en'],text-generation,354520,65,False,2024-09-18T09:41:38.000Z,2024-11-18T12:53:05.000Z,3510501485,qwen2,,,,,
Qwen/Qwen3-14B-Base,14B,Qwen,apache-2.0,,text-generation,352896,34,False,2025-04-28T05:07:11.000Z,2025-07-26T03:45:33.000Z,29536665640,qwen3,,,,,
