model,model_type,rank,model_size,author,license,downloads,likes,usedstorage,average,ifeval,bbh,math,gpqa,musr,mmlu-pro,co₂ cost,created_at,last_modified,model_scope,access type,score_per_billion,score_per_co2
qwen/qwen2.5-7b-instruct,qwen2,623,7.0,Qwen,apache-2.0,588146,32,5570829760,35.2,75.85,34.89,50.0,5.48,8.45,36.52,3.24,2024-09-17,2024-10-09,chat/dialogue,open-source,5.03,10.86
mistralai/mistral-7b-v0.1,mistral,3352,7.0,mistralai,apache-2.0,559378,4000,44007786287,14.58,23.86,22.02,2.95,5.59,10.68,22.36,0.78,2023-09-20,2025-07-24,pretrained,open-source,2.08,18.69
microsoft/phi-4,phi3,969,14.0,microsoft,mit,546383,2183,29319042992,30.36,5.85,52.43,31.65,20.81,23.79,47.63,2.77,2024-12-11,2025-02-24,chat/dialogue,open-source,2.17,10.96
qwen/qwen2.5-32b-instruct,qwen2,22,32.0,Qwen,apache-2.0,538979,303,65527841856,46.6,83.46,56.49,62.54,11.74,13.5,51.85,11.5,2024-09-17,2024-09-25,chat/dialogue,open-source,1.46,4.05
mistralai/mistral-7b-instruct-v0.1,mistral,3524,7.0,mistralai,apache-2.0,532746,1806,43975321200,12.77,44.87,7.65,2.27,0.0,6.13,15.72,1.86,2023-09-27,2025-07-24,chat/dialogue,open-source,1.82,6.87
openai-community/gpt2-medium,gpt2,4167,0.4,openai-community,mit,494547,189,18811630837,5.9,22.08,2.72,0.76,1.68,6.16,2.02,0.24,2022-03-02,2024-02-19,pretrained,open-source,14.75,24.58
huggingfacetb/smollm-135m,llama,4065,1.7,HuggingFaceTB,apache-2.0,488255,229,1973556477,6.95,21.25,3.29,1.36,1.12,13.34,1.36,0.69,2024-07-14,2024-08-01,pretrained,open-source,4.09,10.07
meta-llama/meta-llama-3-70b-instruct,llama,534,70.0,meta-llama,llama3,454448,1496,282237450046,36.37,80.99,50.19,24.47,4.92,10.92,46.74,36.48,2024-04-17,2025-06-18,chat/dialogue,proprietary,0.52,1.0
qwen/qwen2-7b-instruct,qwen2,1305,7.0,Qwen,apache-2.0,375668,672,18993584208,27.94,56.79,37.81,27.64,6.38,7.37,31.64,2.08,2024-06-04,2024-08-21,chat/dialogue,open-source,3.99,13.43
meta-llama/llama-2-7b-chat-hf,llama,3748,7.0,meta-llama,llama2,372728,4634,53908103645,9.61,39.86,4.46,1.96,0.45,3.28,7.64,1.79,2023-07-13,2024-04-17,pretrained,proprietary,1.37,5.37
microsoft/phi-3.5-mini-instruct,phi3,1276,3.8,microsoft,mit,356720,924,7642681603,28.18,57.75,36.75,19.64,11.97,10.1,32.91,7.39,2024-08-16,2025-03-02,chat/dialogue,open-source,7.42,3.81
